"","Name","geom","FID_Historic_Site","Document","HoCo.ID","Address","Tax.Map","Block","Parcel","Lot","Building.Name","Common.Name","Location","Survey.Year","Comments","FID_District"
"791","Enchanted Forest Addendum","POINT (1352377.2 587646.015)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5818","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-767.pdf"" TARGET=""NEW"">Click Here </a>",767,"10040 Baltimore Natn'l. P",24,0,454,0,"The Enchanted Forest","","Ellicott City","2004","Behind shopping center; many artifacts moved to Clark's Eliok Farm (Route 108)",NA
"792","Sause's Service Station","POINT (1365560.94 588547.23)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5819","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-888.pdf"" TARGET=""NEW"">Click Here </a>",888,"8636 Balto. Natn'l. Pike",24,6,50,0,"Sause's Service Station and House","","Ellicott City","2005","Demo permit for garage and SFD 9/25/2007 completed",NA
"793","Jones Buriel Ground","POINT (1365828.69 591608.37)","Historic_Sites_View.fid--710a7ce6_150a05f0815_581a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-876.pdf"" TARGET=""NEW"">Click Here </a>",876,"2948 Rogers Ave",17,24,118,0,"Jones Burial Ground","","Ellicott City","2005","",NA
"794","Swartz House","POINT (1367871.3599999999 592527.9149999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_581b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-875.pdf"" TARGET=""NEW"">Click Here </a>",875,"8432 High Ridge Rd",18,13,379,0,"Swartz House","","Ellicott City","2005","",NA
"795","Timmerman House","POINT (1324413.5999999999 551233.32)","Historic_Sites_View.fid--710a7ce6_150a05f0815_581c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-878.pdf"" TARGET=""NEW"">Click Here </a>",878,"13356 Rt 108",40,4,85,0,"Timmerman House","","Highland","2005","",NA
"796","Disney Garage","POINT (1324328.16 551146.695)","Historic_Sites_View.fid--710a7ce6_150a05f0815_581d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-877.pdf"" TARGET=""NEW"">Click Here </a>",877,"13376 Rt 108",40,4,85,0,"Disney Garage","","Highland","2005","Demo permit for SFD 4/7/2005 completed",NA
"797","Francis & Sarah Mankee Ho","POINT (1324569.5999999999 551377.005)","Historic_Sites_View.fid--710a7ce6_150a05f0815_581e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-879.pdf"" TARGET=""NEW"">Click Here </a>",879,"13354 Rt 108",40,5,85,0,"Francis and Sarah Manakee House","","Highland","2005","",NA
"798","Wm. Thomas Farmhouse","POINT (1367173.92 596730.4049999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_581f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-874.pdf"" TARGET=""NEW"">Click Here </a>",874,"2376 Daniels Rd",18,7,333,0,"William Thomas Farmhouse","","Ellicott City","2005","",NA
"799","Hanson House","POINT (1368511.3499999999 593148.0449999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5820","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-883.pdf"" TARGET=""NEW"">Click Here </a>",883,"8329 Church Lane Dr",18,13,102,0,"Hanson House","","Ellicott City","2005","",NA
"800","Chestnut Hill Tenant Hous","POINT (1370450.76 592537.3049999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5821","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-891.pdf"" TARGET=""NEW"">Click Here </a>",891,"8170 Balto. Natn'l Pike",18,14,281,0,"Chestnut Hill Farm Tenant House","Claggett Farm","Ellicott City","2005","",NA
"801","Mt Pleasant","POINT (1347829.5299999998 600884.37)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5822","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-406.pdf"" TARGET=""NEW"">Click Here </a>",406,"10524 Old Frederick Rd",10,24,331,0,"Mt. Pleasant","","Woodstock","1979","Incorrectly listed as Frederick Road; portions of former farm now owned by DRP & DNR",NA
"802","John R. Clark Farm","POINT (1349864.16 569353.5299999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5823","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-880.pdf"" TARGET=""NEW"">Click Here </a>",880,"5159 Beaverbrook Ln",30,13,246,0,"John R. Clark Farm","Beaverbrook","Columbia","2005","",NA
"803","Spring Hill Quarter Adden","POINT (1368459.24 574827.705)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5824","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-031.pdf"" TARGET=""NEW"">Click Here </a>",31,"4614 New Cut Road",31,1,9,0,"","","","","",NA
"804","Timanus House","POINT (1368598.5899999999 570089.6849999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5825","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-881.pdf"" TARGET=""NEW"">Click Here </a>",881,"8325 Grove Angle Rd",31,13,35,0,"Timanus Tenant House","","Ellicott City","2005","",NA
"805","Lotz House","POINT (1367759.3099999998 567955.965)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5826","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-889.pdf"" TARGET=""NEW"">Click Here </a>",889,"5266 Waterloo Road",31,13,39,0,"Lotz House","","Ellicott City","2005","",NA
"806","Chapel of the Good Shephe","POINT (1366090.5899999999 593321.565)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5827","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-890.pdf"" TARGET=""NEW"">Click Here </a>",890,"2801 Rogers Ave",17,18,472,0,"Chapel of the Good Shepherd Cemetery","Good Sheperd Cemetery caretaker's house","Ellicott City","2005","",NA
"807","Harmon House","POINT (1380908.0399999998 562885.0199999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5828","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-892.pdf"" TARGET=""NEW"">Click Here </a>",892,"6441 Montgomery Rd",37,5,723,0,"Harmon House","","Ellicott City","2005","GIS layer incorrectly identifies name",NA
"808","Isaacs Farm","POINT (1314424.98 582036.105)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5829","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-895.pdf"" TARGET=""NEW"">Click Here </a>",895,"3866 Ivory Rd",22,23,24,0,"Isaacs Farm","","Glenelg","","NO FORM, MHT survey?",NA
"809","Milton A. Murphy House","POINT (1346979.27 588784.365)","Historic_Sites_View.fid--710a7ce6_150a05f0815_582a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-897.pdf"" TARGET=""NEW"">Click Here </a>",897,"10510 Frederick Rd",16,24,63,0,"Milton A. Murphy House","","Ellicott City","","",NA
"810","O'Tremba House","POINT (1347289.2 588532.3949999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_582b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-898.pdf"" TARGET=""NEW"">Click Here </a>",898,"10470  Frederick Rd",23,6,10,0,"O'Tremba House","","Ellicott City","","",NA
"811","Savage Bungalow","POINT (1361547.0599999998 535546.35)","Historic_Sites_View.fid--710a7ce6_150a05f0815_582c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-873.pdf"" TARGET=""NEW"">Click Here </a>",873,"8225 Commercial St",47,11,455,0,"Savage Mill Worker's Bungalow","Joseph Schultz House","Savage","2005","",NA
"812","Richard Shipley Farm","POINT (1316270.16 596813.205)","Historic_Sites_View.fid--710a7ce6_150a05f0815_582d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-870.pdf"" TARGET=""NEW"">Click Here </a>",870,"2400 Pfefferkorn Rd",15,8,4,0,"Caleb Shipley, Jr. Farm","Richard Shipley Farm","West Friendship","2008","Demo permit for SFD 9/12/2007 complete",NA
"813","Cornelius W. Pickett Prop","POINT (1366270.0799999998 538126.395)","Historic_Sites_View.fid--710a7ce6_150a05f0815_582e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-848.pdf"" TARGET=""NEW"">Click Here </a>",848,"8806 Washington Blvd",47,6,501,0,"Cornelius W. Pickett Property","White's Contrivance","Jessup","UNK","",NA
"814","Harry & Fulton Gordon Pro","POINT (1357629.18 524716.215)","Historic_Sites_View.fid--710a7ce6_150a05f0815_582f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-849.pdf"" TARGET=""NEW"">Click Here </a>",849,"10128 Washington Blvd",50,10,425,0,"Harry and Fulton Gordon Property","","Laurel","UNK","",NA
"815","Thomas Jones House","POINT (1365730.6199999999 592668.36)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5830","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-884.pdf"" TARGET=""NEW"">Click Here </a>",884,"2711 North Ridge Road",17,18,98,0,"Thomas Jones House","","Ellicott City","2005","",NA
"816","Gieseke House","POINT (1346450.46 588968.73)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5831","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-896.pdf"" TARGET=""NEW"">Click Here </a>",896,"10546 Frederick Rd",16,24,63,0,"Edith Friskey House","Gieske House","Ellicott City","2008","Demo permit for SFD 8/18/2007 completed, new development built",NA
"817","Richland Farm","POINT (1327650.69 574046.2799999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5832","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-907.pdf"" TARGET=""NEW"">Click Here </a>",907,"4730 Sheppard Lane",28,6,92,0,"Richland Farm","","Clarksville","2007","",NA
"818","Murphy-Connell Farm","POINT (1335847.5 536575.14)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5833","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-918.pdf"" TARGET=""NEW"">Click Here </a>",918,"8450 Murphy Road",46,8,115,0,"Murphy-Connell Farm","","Scaggsville","2007","",NA
"819","Snowdown Farm","POINT (1279102.0499999998 615262.86)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5834","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-919.pdf"" TARGET=""NEW"">Click Here </a>",919,"719 West Watersville Rd",2,19,114,0,"Snowdown Farm","","Mt. Airy","2007","",NA
"820","Wheatland","POINT (1327058.2799999998 549080.895)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5835","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-920.pdf"" TARGET=""NEW"">Click Here </a>",920,"12570 Hall Shop Rd",40,11,267,0,"Wheatland","Bleakwood Farm","Fulton","2007","",NA
"821","Welsh-Burdette Farm","POINT (1272793.5599999998 600088.9349999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5836","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-921.pdf"" TARGET=""NEW"">Click Here </a>",921,"2113 Florence Road",12,5,12,0,"Welsh-Burdette Farm","","Mt. Airy","2007","",NA
"822","Simpson Family Farm","POINT (1333080.39 549237.51)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5837","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-922.pdf"" TARGET=""NEW"">Click Here </a>",922,"11965 Simpson Road",41,7,198,0,"Simpson Family Farm","","Clarksville","2007","",NA
"823","","POINT (1320406.41 546807.255)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5838","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-926.pdf"" TARGET=""NEW"">Click Here </a>",926,"13886 Clarksville Pike",40,9,40,0,"Unnamed","","Clarksville","2007","",NA
"824","Brown's Store and Post Of","POINT (1312087.02 581031.705)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5839","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-925.pdf"" TARGET=""NEW"">Click Here </a>",925,"14041 Triadelphia Road",21,18,53,0,"Brown's Store and Post Office","","Glenelg","2007","",NA
"825","Gray House","POINT (1343659.71 573253.335)","Historic_Sites_View.fid--710a7ce6_150a05f0815_583a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-421.pdf"" TARGET=""NEW"">Click Here </a>",421,"4754 Manor Lane",29,11,21,0,"","Gray House","Ellicott City","1982","Developer owned",NA
"826","Mackall-Wolfe farm","POINT (1304664.75 588829.9199999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_583b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-902.pdf"" TARGET=""NEW"">Click Here </a>",902,"14812 Burnt Woods Road",14,22,82,0,"Mackall-Wolfe Farm","Walnut Springs Nursery","Glenwood","2006","",NA
"827","Alpha Post Office","POINT (1332930.24 602533.86)","Historic_Sites_View.fid--710a7ce6_150a05f0815_583c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-927.pdf"" TARGET=""NEW"">Click Here </a>",927,"11995 Old Frederick Rd",10,19,301,0,"Alpha Post Office","","Marriottsville","2007","",NA
"828","Manakee-Thompson farm","POINT (1334347.74 563325.105)","Historic_Sites_View.fid--710a7ce6_150a05f0815_583d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-928.pdf"" TARGET=""NEW"">Click Here </a>",928,"5710 Trotter Rd",35,2,13,0,"Manakee-Thompson Farm","","Clarksville","2007","",NA
"829","Rosemont","POINT (1366718.3699999999 587917.74)","Historic_Sites_View.fid--710a7ce6_150a05f0815_583e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-933.pdf"" TARGET=""NEW"">Click Here </a>",933,"3311 Rogers Ave",25,1,0,0,"Rosemont","Rose Hill","Ellicott City","2009","Check address MDAT",NA
"830","","POINT (1364683.5 594642.585)","Historic_Sites_View.fid--710a7ce6_150a05f0815_583f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-934.pdf"" TARGET=""NEW"">Click Here </a>",934,"8813 Old Frederick Rd",17,18,85,0,"Unnamed","","Ellicott City","2007","",NA
"831","","POINT (1328382.42 560528.205)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5840","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-935.pdf"" TARGET=""NEW"">Click Here </a>",935,"12408 Clarksville Pike",34,12,34,0,"Unnamed","","Clarksville","2007","",NA
"832","Webb Tenant House","POINT (1353487.89 527822.085)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5841","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-936.pdf"" TARGET=""NEW"">Click Here </a>",936,"9381 All Saints Rd",50,2,496,0,"Webb Tenant House","","Laurel","2008","Demo permit for SFD 3/1/2007 completed",NA
"833","Anderson Family House","POINT (1376137.26 542495.4299999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5842","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-937.pdf"" TARGET=""NEW"">Click Here </a>",937,"7909 Old Jessup Rd",43,22,108,0,"Anderson Family House","","Jessup","2008","Demo permit for SFD 6/15/2007 completed",NA
"834","Frank and Mary Dorsey Hou","POINT (1305725.4 582008.5499999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5843","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-938.pdf"" TARGET=""NEW"">Click Here </a>",938,"14680 Dorsey Mill Rd",21,16,30,0,"Frank and Mary Dorsey House","","Glenwood","2008","",NA
"835","Alta Unglesbee House","POINT (1268512.0799999998 610339.86)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5844","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-939.pdf"" TARGET=""NEW"">Click Here </a>",939,"18220 Penn Shop Rd",6,4,22,0,"John and Alta Unglesbee House","","Mt. Airy","UNK","NO FORM",NA
"836","Dasher Farm","POINT (1356906.5999999999 554794.515)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5845","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-929.pdf"" TARGET=""NEW"">Click Here </a>",929,"",36,21,46,0,"Dasher Farm","","Columbia","2007","",NA
"837","Ridgely-Riggs Farm","POINT (1300740.18 579025.845)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5846","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-930.pdf"" TARGET=""NEW"">Click Here </a>",930,"",21,21,0,0,"Ridgely-Riggs Farm","","Roxbury Mills","2007","",NA
"838","Roxbury Boy Scout Cabin","POINT (1299658.8299999998 579061.5449999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5847","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-931.pdf"" TARGET=""NEW"">Click Here </a>",931,"",21,20,0,0,"Roxbury Boy Scout Cabin","","Roxbury Mills","2007","",NA
"839","Hoogewerff-Donaldson Quar","POINT (1387872.24 564697.7699999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5848","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-940.pdf"" TARGET=""NEW"">Click Here </a>",940,"6464 Elibank Dr",38,2,545,0,"Hoogewerff-Donaldson Cotttage","","Elkridge","2008","",NA
"840","John and Sarah Wilson Hou","POINT (1315919.5499999998 598862.9249999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5849","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-941.pdf"" TARGET=""NEW"">Click Here </a>",941,"13741 Frederick Rd",15,2,219,0,"John and Sarah Wilson Farm","","West Friendship","2008","Demo permit for SFD 5/7/2009 completed, new structure built",NA
"841","Gustavus Warfield Farm","POINT (1306777.8599999999 595485.09)","Historic_Sites_View.fid--710a7ce6_150a05f0815_584a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-942.pdf"" TARGET=""NEW"">Click Here </a>",942,"2525 Rt 97",14,11,217,0,"Inwood","Gustavus Warfield Farm","Glenwood","2008","Demo permit for SFD 7/2/2008 completed",NA
"842","Miller-Rauth Farm","POINT (1323095.01 541348.77)","Historic_Sites_View.fid--710a7ce6_150a05f0815_584b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-943.pdf"" TARGET=""NEW"">Click Here </a>",943,"12815 Lime Kiln Rd",40,22,114,0,"Miller-Harrison Tenant Farm","","Highland","2008","Demo permit for SFD 11/2/2007 completed",NA
"843","Oakland Farm (Chance Land","POINT (1314363.48 601635.465)","Historic_Sites_View.fid--710a7ce6_150a05f0815_584c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-944.pdf"" TARGET=""NEW"">Click Here </a>",944,"1825 McKendree Rd",9,19,10,0,"Oakland Farm","Chance Land Farm","West Friendship","2008","",NA
"844","Davis & Hemphill Factory","POINT (1395837.66 563018.325)","Historic_Sites_View.fid--710a7ce6_150a05f0815_584d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-945.pdf"" TARGET=""NEW"">Click Here </a>",945,"5710 Furnace Ave",34,8,429,0,"Davis & Hemphill Factory","","Elkridge","2008","",NA
"845","Old Roxbury Road Bridge o","POINT (1299436.14 578709.48)","Historic_Sites_View.fid--710a7ce6_150a05f0815_584e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-932.pdf"" TARGET=""NEW"">Click Here </a>",932,"",21,20,270,0,"Old Roxbury Road Bridge","","Roxbury Mills","2007","",NA
"846","Cattail Creek Stone Bridg","POINT (1304671.47 589126.6799999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_584f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1015.pdf"" TARGET=""NEW"">Click Here </a>",1015,"14812 Burnt Woods Road",14,22,82,0,"Cattail Creek Stone Bridg","","Glenwood","2010","",NA
"847","The Schmeltz Building","POINT (1375855.17 541173.5249999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5850","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1012.pdf"" TARGET=""NEW"">Click Here </a>",1012,"7981 Old Jessup Rd",43,22,323,0,"The Schmeltz Building","","Jessup","2010","",NA
"848","Rev. Burton Highley House","POINT (1375788.72 541566.27)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5851","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1011.pdf"" TARGET=""NEW"">Click Here </a>",1011,"7953 Old Jessup Rd",43,22,540,0,"Rev. Burton Highley House","","Jessup","2010","",NA
"849","Washington Trust Co.","POINT (1369854.75 582959.64)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5852","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1008.pdf"" TARGET=""NEW"">Click Here </a>",1008,"8137 Main St",25,8,43,0,"Washington Trust Co.","","","2010","",NA
"850","St. Charles College","POINT (1343640.75 589712.34)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5853","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-993.pdf"" TARGET=""NEW"">Click Here </a>",993,"Terra Maria Way & St. Cha",16,23,416,0,"St. Charles College","","Marriottsville","2009","",NA
"851","Union Dam Tunnel, B&O RR","POINT (1374184.0499999998 593350.335)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5854","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-988.pdf"" TARGET=""NEW"">Click Here </a>",988,"Patapsco State Park, Holl",18,15,92,0,"Union Dam Tunnel, B&O RR","","Ellicott City","2009","",NA
"852","Howard County 3rd Firehou","POINT (1368866.19 583499.2799999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5855","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-984.pdf"" TARGET=""NEW"">Click Here </a>",984,"8390 Main St",25,7,240,0,"Howard County 3rd Firehouse","","Ellicott City","2009","",NA
"853","Log Hall","POINT (1377635.76 575483.3099999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5856","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-978.pdf"" TARGET=""NEW"">Click Here </a>",978,"4640 Ilchester Rd",31,4,115,0,"Log Hall","","Ellicott City","2009","",NA
"854","Unnamed House","POINT (1360676.7899999998 528453.09)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5857","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-972.pdf"" TARGET=""NEW"">Click Here </a>",972,"9757 Washington Blvd",50,5,387,0,"Unnamed House","","Laurel","2008","",NA
"855","Unnamed House","POINT (1324578.39 547773.8999999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5858","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-971.pdf"" TARGET=""NEW"">Click Here </a>",971,"12835 Hall Shop Rd",40,11,149,0,"Unnamed House","","Highland","2008","",NA
"856","Unnamed House","POINT (1324545.93 547008.33)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5859","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-970.pdf"" TARGET=""NEW"">Click Here </a>",970,"12883 Hall Shop Rd",40,10,115,0,"Unnamed House","","Highland","2008","",NA
"857","Unnamed house","POINT (1355627.22 574828.1849999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_585a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-969.pdf"" TARGET=""NEW"">Click Here </a>",969,"9673 Old Annapolis Rd",30,3,33,0,"Unnamed house","","Columbia","2008","",NA
"858","Unnamed House","POINT (1356678.1199999999 573215.1)","Historic_Sites_View.fid--710a7ce6_150a05f0815_585b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-967.pdf"" TARGET=""NEW"">Click Here </a>",967,"9584 Old Route 108",30,9,52,0,"Unnamed House","","Columbia","2008","",NA
"859","Unnamed House","POINT (1356819.7799999998 573205.1549999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_585c","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-966.pdf"" TARGET=""NEW"">Click Here </a>",966,"9570 Old Route 108",30,9,53,0,"Unnamed House","","Columbia","2008","",NA
"860","Unnamed House","POINT (1356940.3499999999 573189.9299999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_585d","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-965.pdf"" TARGET=""NEW"">Click Here </a>",965,"9562 Old Route 108",30,9,55,26,"Unnamed House","","Columbia","2008","",NA
"861","Longwood Chapel","POINT (1303967.67 589035.945)","Historic_Sites_View.fid--710a7ce6_150a05f0815_585e","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-960.pdf"" TARGET=""NEW"">Click Here </a>",960,"3169 Rt 97",14,22,81,0,"Longwood Chapel","","","2008","",NA
"862","Unnamed house","POINT (1348015.77 571374.5549999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_585f","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-956.pdf"" TARGET=""NEW"">Click Here </a>",956,"10437 Clarksville Pike",29,12,89,0,"Unnamed house","","Columbia","2008","",NA
"863","Marriottsville Lime Kilns","POINT (1340583.0899999999 613744.26)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5860","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-955.pdf"" TARGET=""NEW"">Click Here </a>",955,"Marriottsville Rd at B &",5,22,14,0,"Marriottsville Lime Kilns","","Marriottsville","2008","",NA
"864","Unnamed House","POINT (1371035.19 545843.61)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5861","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-948.pdf"" TARGET=""NEW"">Click Here </a>",948,"Washington Blvd near Oak",43,14,211,0,"Unnamed House","","Elkridge","2008","",NA
"865","Happy Retreat","POINT (1296880.3199999998 587997.015)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5862","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-111.pdf"" TARGET=""NEW"">Click Here </a>",111,"3104 McNeal Rd",21,1,64,0,"Happy Retreat","","Woodbine","","",NA
"866","Bite the Skinner (The Her","POINT (1286636.0399999998 602022.5249999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5863","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-113.pdf"" TARGET=""NEW"">Click Here </a>",113,"16539 Mullinix Rd",7,22,132,0,"Bite the Skinner (The Heritage)","The Bernard Warfield","Woodbine","1979","Same site as HO-114 Agricultural Easement",NA
"867","Alexander Hassan Stone Ru","POINT (1343217.42 601193.34)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5864","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-129.pdf"" TARGET=""NEW"">Click Here </a>",129,"10881 Old Frederick Rd",10,23,406,0,"Alexander Hassan Stone Ruin","","Marriottsville","1979","Not Located",NA
"868","Alabama Farm","POINT (1335786.1199999999 561530.2949999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5865","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-157.pdf"" TARGET=""NEW"">Click Here </a>",157,"South Wind Cir",35,8,0,0,"","Alabama Farm","Clarksville","1970","Destroyed by fire, no longer exists",NA
